gene_id,acronym,gene_name,ise_id,plane,entrez,valid
86534,Cps1,carbamoyl-phosphate synthetase 1,69608022,sagittal,227231,True
47373,9030418K01Rik,RIKEN cDNA 9030418K01 gene,73767139,sagittal,71532,True
87332,Lmtk2,lemur tyrosine kinase 2,69736148,sagittal,231876,True
37372,Rnase4,"ribonuclease, RNase A family 4",68300938,sagittal,58809,True
44067,1700067P10Rik,RIKEN cDNA 1700067P10 gene,69113698,sagittal,68224,True
84734,Arid5a,AT rich interactive domain 5A (MRF1-like),75042267,coronal,214855,True
84734,Arid5a,AT rich interactive domain 5A (MRF1-like),68522302,sagittal,214855,True
49003,Otud3,OTU domain containing 3,70203627,sagittal,73162,True
120052,Zfp948,zinc finger protein 948,77932825,sagittal,381066,True
139882,Mm.360771,Unigene Mm.360771,71210001,sagittal,None,True
149765,4921534K20Rik*,RIKEN cDNA 4921534K20 gene (non-RefSeq),73834547,sagittal,None,True
43735,1810063B05Rik,RIKEN cDNA 1810063B05 gene,70474887,sagittal,67892,True
110742,Eras,ES cell-expressed Ras,70239135,sagittal,353283,True
43575,Iah1,isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae),69116560,sagittal,67732,True
21572,Tgfbr2,"transforming growth factor, beta receptor II",69133680,sagittal,21813,True
21572,Tgfbr2,"transforming growth factor, beta receptor II",74819696,coronal,21813,True
14041,Fmod,fibromodulin,68910983,sagittal,14264,True
107126,Hook3,hook homolog 3 (Drosophila),1198,sagittal,320191,True
107126,Hook3,hook homolog 3 (Drosophila),1197,coronal,320191,True
40602,Slc29a1,"solute carrier family 29 (nucleoside transporters), member 1",1838,coronal,63959,True
40602,Slc29a1,"solute carrier family 29 (nucleoside transporters), member 1",1839,sagittal,63959,True
26654,Eif2s3y,"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked",69549624,sagittal,26908,True
74548,Qdpr,quinoid dihydropteridine reductase,75042261,coronal,110391,True
74548,Qdpr,quinoid dihydropteridine reductase,631703,sagittal,110391,True
82382,Vmn1r24,vomeronasal 1 receptor 24,70785236,sagittal,171191,True
18439,Phb,prohibitin,69783071,sagittal,18673,True
84178,D130043K22Rik,RIKEN cDNA D130043K22 gene,69608495,sagittal,210108,True
23765,Rnasel,"ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)",73817438,coronal,24014,True
23765,Rnasel,"ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)",77799017,sagittal,24014,True
23765,Rnasel,"ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)",69818206,sagittal,24014,True
82879,Hps4,Hermansky-Pudlak syndrome 4 homolog (human),68843895,sagittal,192232,True
44184,Ndufb10,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10",71608213,sagittal,68342,True
119709,Nlrp12,"NLR family, pyrin domain containing 12",71668983,sagittal,378425,True
60864,Cpsf1,cleavage and polyadenylation specific factor 1,69608028,sagittal,94230,True
53816,Nuak1,"NUAK family, SNF1-like kinase, 1",73497621,sagittal,77976,True
108627,A330041K01,uncharacterized LOC329239,71161147,sagittal,329239,True
31910,Echdc2,enoyl Coenzyme A hydratase domain containing 2,71836871,coronal,52430,True
31910,Echdc2,enoyl Coenzyme A hydratase domain containing 2,69549179,sagittal,52430,True
83040,Dhrs11,dehydrogenase/reductase (SDR family) member 11,68632948,sagittal,192970,True
121859,AU015836,expressed sequence AU015836,74359658,sagittal,385493,True
87807,Gpm6a,glycoprotein m6a,68080704,sagittal,234267,True
119921,Gm889,predicted gene 889,71832951,sagittal,380755,True
73464,Orai1,ORAI calcium release-activated calcium modulator 1,68444672,sagittal,109305,True
21840,Ctr9,"Ctr9, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)",71668371,sagittal,22083,True
35985,Ccnl1,cyclin L1,69134646,sagittal,56706,True
17910,Npas2,neuronal PAS domain protein 2,74724764,coronal,18143,True
17910,Npas2,neuronal PAS domain protein 2,70593327,sagittal,18143,True
88691,Slc4a9,"solute carrier family 4, sodium bicarbonate cotransporter, member 9",71808624,sagittal,240215,True
88869,Exd1,exonuclease 3'-5' domain containing 1,72183009,sagittal,241624,True
35266,Pigb,"phosphatidylinositol glycan anchor biosynthesis, class B",69549329,sagittal,55981,True
13968,Fgr,Gardner-Rasheed feline sarcoma viral (Fgr) oncogene homolog,75831773,sagittal,14191,True
44015,Rpl39l,ribosomal protein L39-like,70723710,sagittal,68172,True
70031,Krt72-ps,"keratin 72, pseudogene",70724559,sagittal,105866,True
107520,5730405G21Rik,RIKEN cDNA 5730405G21 gene,70218938,sagittal,320585,True
35824,Vmn2r1,"vomeronasal 2, receptor 1",75991076,sagittal,56544,True
83036,Nacad,NAC alpha domain containing,70565867,sagittal,192950,True
23603,Pappa2,pappalysin 2,276066,coronal,23850,True
23603,Pappa2,pappalysin 2,199143,sagittal,23850,True
13644,Erbb2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",1710,sagittal,13866,True
13644,Erbb2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",1709,coronal,13866,True
89759,Ovca2,candidate tumor suppressor in ovarian cancer 2,71210753,sagittal,246257,True
50039,Dtx2,deltex 2 homolog (Drosophila),67764935,sagittal,74198,True
19587,Trim10,tripartite motif-containing 10,70302818,sagittal,19824,True
78199,Derl2,"Der1-like domain family, member 2",386232,sagittal,116891,True
85950,Arhgap39,Rho GTPase activating protein 39,73992939,coronal,223666,True
85950,Arhgap39,Rho GTPase activating protein 39,69608537,sagittal,223666,True
27020,Nufip1,nuclear fragile X mental retardation protein interacting protein 1,68667330,sagittal,27275,True
92490,Alkbh5,"alkB, alkylation repair homolog 5 (E. coli)",68798998,sagittal,268420,True
45189,1700008P02Rik,RIKEN cDNA 1700008P02 gene,71919421,sagittal,69347,True
49602,4833415N18Rik,RIKEN cDNA 4833415N18 gene,71022912,sagittal,73761,True
49589,Gadl1,glutamate decarboxylase-like 1,76081195,sagittal,73748,True
45270,1700016C15Rik,RIKEN cDNA 1700016C15 gene,70201277,sagittal,69428,True
33718,Dnmt3l,DNA (cytosine-5-)-methyltransferase 3-like,73716572,sagittal,54427,True
19034,Ptprj,"protein tyrosine phosphatase, receptor type, J",73521803,coronal,19271,True
19034,Ptprj,"protein tyrosine phosphatase, receptor type, J",69816727,sagittal,19271,True
16551,Lamb2,"laminin, beta 2",68562975,sagittal,16779,True
51586,Rian,RNA imprinted and accumulated in nucleus,74580805,sagittal,75745,True
44687,Pih1d1,PIH1 domain containing 1,73606582,sagittal,68845,True
17955,Nrtn,neurturin,69117402,sagittal,18188,True
17955,Nrtn,neurturin,742,sagittal,18188,True
17955,Nrtn,neurturin,741,coronal,18188,True
78245,Pnpla3,patatin-like phospholipase domain containing 3,68522410,sagittal,116939,True
36151,Pate4,prostate and testis expressed 4,70302300,sagittal,56872,True
33415,Uevld,UEV and lactate/malate dehyrogenase domains,69527024,sagittal,54122,True
17156,Mmp15,matrix metallopeptidase 15,1383,coronal,17388,True
17156,Mmp15,matrix metallopeptidase 15,1384,sagittal,17388,True
40515,Zfp296,zinc finger protein 296,71489793,sagittal,63872,True
50111,Usp20,ubiquitin specific peptidase 20,69838746,sagittal,74270,True
50111,Usp20,ubiquitin specific peptidase 20,72104170,coronal,74270,True
16900,Smad6,MAD homolog 6 (Drosophila),74581134,sagittal,17130,True
42039,Myo19,myosin XIX,77620303,sagittal,66196,True
164661,Kctd21,potassium channel tetramerisation domain containing 21,74000660,sagittal,622320,True
45031,1810033B17Rik,RIKEN cDNA 1810033B17 gene,70201576,sagittal,69189,True
129266,Vrtn,vertebrae development homolog (pig),70611192,sagittal,432677,True
89135,Zfp324,zinc finger protein 324,68798807,sagittal,243834,True
86119,Anks1,ankyrin repeat and SAM domain containing 1,68862126,sagittal,224650,True
19583,Rlim,"ring finger protein, LIM domain interacting",71763577,sagittal,19820,True
142497,LOC544728,-,71147846,sagittal,544728,True
56675,Polh,"polymerase (DNA directed), eta (RAD 30 related)",69817151,sagittal,80905,True
120458,D830044I16Rik,RIKEN cDNA D830044I16 gene,74510134,sagittal,381922,True
120069,BC048355,cDNA sequence BC048355,69262317,sagittal,381101,True
36070,Ube2l6,ubiquitin-conjugating enzyme E2L 6,68269295,sagittal,56791,True
52261,1700027A23Rik,RIKEN cDNA 1700027A23 gene,69114608,sagittal,100503311,True
46852,4933401B06Rik,GLE1 RNA export mediator pseudogene,70724445,sagittal,71011,True
52214,Zfp773,zinc finger protein 773,74821604,sagittal,76373,True
86850,Stoml3,stomatin (Epb7.2)-like 3,69887373,sagittal,229277,True
37085,Kcne4,"potassium voltage-gated channel, Isk-related subfamily, gene 4",68545929,sagittal,57814,True
37085,Kcne4,"potassium voltage-gated channel, Isk-related subfamily, gene 4",74819245,coronal,57814,True
37551,Rps6kb2,"ribosomal protein S6 kinase, polypeptide 2",69169349,sagittal,58988,True
49165,1700034F02Rik,RIKEN cDNA 1700034F02 gene,70201403,sagittal,73324,True
130703,Gm5585,predicted gene 5585,70787420,sagittal,434123,True
21931,Tyro3,TYRO3 protein tyrosine kinase 3,72119607,coronal,22174,True
21931,Tyro3,TYRO3 protein tyrosine kinase 3,69201612,sagittal,22174,True
144395,LOC545350,-,74736432,sagittal,545350,True
47715,2310007B03Rik,RIKEN cDNA 2310007B03 gene,71991780,sagittal,71874,True
23811,Slc35a1,"solute carrier family 35 (CMP-sialic acid transporter), member 1",2605,coronal,24060,True
23811,Slc35a1,"solute carrier family 35 (CMP-sialic acid transporter), member 1",2606,sagittal,24060,True
91046,Olfr845,olfactory receptor 845,74734967,sagittal,258249,True
85326,Ptpdc1,protein tyrosine phosphatase domain containing 1,72472738,coronal,218232,True
85326,Ptpdc1,protein tyrosine phosphatase domain containing 1,69527740,sagittal,218232,True
88450,Gpr68,G protein-coupled receptor 68,69257624,sagittal,238377,True
42399,Drap1,Dr1 associated protein 1 (negative cofactor 2 alpha),70431295,sagittal,66556,True
41050,Slc5a4a,"solute carrier family 5, member 4a",70785086,sagittal,64452,True
20211,St6galnac4,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4",71280607,sagittal,20448,True
22106,Vil1,villin 1,1441,sagittal,22349,True
22106,Vil1,villin 1,1440,coronal,22349,True
76553,Dom3z,DOM-3 homolog Z (C. elegans),532640,sagittal,112403,True
84099,Gm4759,"GTPase, very large interferon inducible 1 pseudogene",70565903,sagittal,209380,True
74984,Lims1,LIM and senescent cell antigen-like domains 1,73514731,sagittal,110829,True
26639,Cops6,"COP9 (constitutive photomorphogenic) homolog, subunit 6 (Arabidopsis thaliana)",75695664,sagittal,26893,True
91546,Olfr556,olfactory receptor 556,74724181,sagittal,258749,True
20690,Abcc9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",76003609,sagittal,20928,True
14520,Gpr65,G-protein coupled receptor 65,79541425,sagittal,14744,True
120284,LOC381557,similar to CUB and Sushi multiple domains 1,71670744,coronal,381557,True
120284,LOC381557,similar to CUB and Sushi multiple domains 1,70596083,sagittal,381557,True
143309,Gsk3a,glycogen synthase kinase 3 alpha,70813329,sagittal,606496,True
41921,Tsen34,tRNA splicing endonuclease 34 homolog (S. cerevisiae),1945,sagittal,66078,True
41921,Tsen34,tRNA splicing endonuclease 34 homolog (S. cerevisiae),1944,coronal,66078,True
56659,Mesdc1,mesoderm development candidate 1,576423,sagittal,80889,True
47622,Slc16a14,"solute carrier family 16 (monocarboxylic acid transporters), member 14",2577,coronal,71781,True
47622,Slc16a14,"solute carrier family 16 (monocarboxylic acid transporters), member 14",2578,sagittal,71781,True
57734,Pik3ap1,phosphoinositide-3-kinase adaptor protein 1,71377691,sagittal,83490,True
85074,Acap1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",68162225,sagittal,216859,True
60352,Pcdhgb2,"protocadherin gamma subfamily B, 2",70784916,sagittal,93700,True
88432,Arid4a,AT rich interactive domain 4A (RBP1-like),69526850,sagittal,238247,True
13164,Dlg4,"discs, large homolog 4 (Drosophila)",72109445,coronal,13385,True
13164,Dlg4,"discs, large homolog 4 (Drosophila)",72182975,sagittal,13385,True
13164,Dlg4,"discs, large homolog 4 (Drosophila)",68193007,sagittal,13385,True
13164,Dlg4,"discs, large homolog 4 (Drosophila)",70918916,sagittal,13385,True
73096,Rnf169,ring finger protein 169,74359479,sagittal,108937,True
84528,Tapbpl,TAP binding protein-like,68342402,sagittal,213233,True
130995,LOC434415,similar to LRRGT00082,71022304,sagittal,434415,True
144479,Ubtfl1,"upstream binding transcription factor, RNA polymerase I-like 1",75043689,sagittal,546118,True
91523,Olfr599,olfactory receptor 599,74724235,sagittal,258726,True
149833,4933401J08Rik*,RIKEN cDNA 4933401J08 gene (non-RefSeq),73870539,sagittal,None,True
129555,LOC432967,hypothetical gene supported by AK052663,73818825,sagittal,432967,True
12181,Cbfa2t2,"core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human)",68844725,sagittal,12396,True
33963,Gpr97,G protein-coupled receptor 97,69257672,sagittal,54672,True
130971,LOC434391,uncharacterized LOC434391,71022268,sagittal,434391,True
108947,Nup98,nucleoporin 98,71656848,sagittal,330609,True
47608,Tysnd1,trypsin domain containing 1,74581157,sagittal,71767,True
85190,Nploc4,nuclear protein localization 4 homolog (S. cerevisiae),69526498,sagittal,217365,True
49932,Npl,N-acetylneuraminate pyruvate lyase,67815970,sagittal,74091,True
44134,Stt3b,"STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)",386023,sagittal,68292,True
44134,Stt3b,"STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)",71020390,coronal,68292,True
84510,Slc39a14,"solute carrier family 39 (zinc transporter), member 14",1846,coronal,213053,True
84510,Slc39a14,"solute carrier family 39 (zinc transporter), member 14",1847,sagittal,213053,True
89010,Klhl21,kelch-like 21 (Drosophila),76003364,sagittal,242785,True
108474,Gm20555,"predicted gene, 20555",73834427,sagittal,328516,True
85251,Fam161b,"family with sequence similarity 161, member B",74277676,sagittal,217705,True
35731,Suclg1,"succinate-CoA ligase, GDP-forming, alpha subunit",564780,sagittal,56451,True
32938,Vamp5,vesicle-associated membrane protein 5,70194898,sagittal,53620,True
18854,Prkg1,"protein kinase, cGMP-dependent, type I",69817336,sagittal,19091,True
18854,Prkg1,"protein kinase, cGMP-dependent, type I",73521817,coronal,19091,True
110640,Tas2r139,"taste receptor, type 2, member 139",70302413,sagittal,353148,True
72838,Cops8,"COP9 (constitutive photomorphogenic) homolog, subunit 8 (Arabidopsis thaliana)",67765696,sagittal,108679,True
52471,Stambpl1,STAM binding protein like 1,68637880,sagittal,76630,True
27784,D6Wsu163e,"DNA segment, Chr 6, Wayne State University 163, expressed",68443333,sagittal,28040,True
93532,Kctd19,potassium channel tetramerisation domain containing 19,72182956,sagittal,279499,True
91099,Olfr420,olfactory receptor 420,74724091,sagittal,258302,True
31654,Tmem222,transmembrane protein 222,69059877,sagittal,52174,True
15106,Hmgn2,high mobility group nucleosomal binding domain 2,71764565,sagittal,15331,True
44013,B230118H07Rik,RIKEN cDNA B230118H07 gene,71763735,sagittal,68170,True
85120,Utp18,"UTP18, small subunit (SSU) processome component, homolog (yeast)",69444777,sagittal,217109,True
35685,Dusp14,dual specificity phosphatase 14,70927831,coronal,56405,True
35685,Dusp14,dual specificity phosphatase 14,74003405,sagittal,56405,True
108923,Zfp82,zinc finger protein 82,71488919,sagittal,330502,True
26179,Git2,G protein-coupled receptor kinase-interactor 2,68844325,sagittal,26431,True
45161,1700001K23Rik,RIKEN cDNA 1700001K23 gene,74581247,sagittal,69319,True
48353,Tmem173,transmembrane protein 173,68861674,sagittal,72512,True
63201,Osbpl6,oxysterol binding protein-like 6,67814211,sagittal,99031,True
63201,Osbpl6,oxysterol binding protein-like 6,70744325,coronal,99031,True
87173,Samd11,sterile alpha motif domain containing 11,70928360,coronal,231004,True
87173,Samd11,sterile alpha motif domain containing 11,68196912,sagittal,231004,True
139396,Mm.24928,Unigene Mm.24928,71456147,sagittal,None,True
85227,Ctage5,"CTAGE family, member 5",67792199,sagittal,217615,True
16722,Anxa1,annexin A1,73748908,sagittal,16952,True
16722,Anxa1,annexin A1,68191372,sagittal,16952,True
16722,Anxa1,annexin A1,70813897,coronal,16952,True
35351,Cxcl11,chemokine (C-X-C motif) ligand 11,76081898,sagittal,56066,True
86852,Spg20,"spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)",70919376,sagittal,229285,True
86852,Spg20,"spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)",68193030,sagittal,229285,True
33176,Slc5a3,"solute carrier family 5 (inositol transporters), member 3",977,sagittal,53881,True
33176,Slc5a3,"solute carrier family 5 (inositol transporters), member 3",976,coronal,53881,True
86411,5430435G22Rik,RIKEN cDNA 5430435G22 gene,68633357,sagittal,226421,True
37615,Mettl9,methyltransferase like 9,69838751,sagittal,59052,True
53055,Krtap5-3,keratin associated protein 5-3,70228322,sagittal,77215,True
57917,Bicc1,bicaudal C homolog 1 (Drosophila),71808546,sagittal,83675,True
57917,Bicc1,bicaudal C homolog 1 (Drosophila),73906442,sagittal,83675,True
47954,Adck1,aarF domain containing kinase 1,80514097,sagittal,72113,True
42035,Lage3,"L antigen family, member 3",70918808,sagittal,66192,True
42035,Lage3,"L antigen family, member 3",68444696,sagittal,66192,True
16805,Lxn,latexin,69201516,sagittal,17035,True
16805,Lxn,latexin,72340108,coronal,17035,True
87043,Leprot,leptin receptor overlapping transcript,75773649,coronal,230514,True
87043,Leprot,leptin receptor overlapping transcript,75774627,sagittal,230514,True
93353,Exoc3l,exocyst complex component 3-like,71496264,sagittal,277978,True
85101,Utp6,"UTP6, small subunit (SSU) processome component, homolog (yeast)",67767445,sagittal,216987,True
22150,Wfs1,Wolfram syndrome 1 homolog (human),68924527,sagittal,22393,True
22150,Wfs1,Wolfram syndrome 1 homolog (human),74881161,coronal,22393,True
87616,Adamts17,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17",70566118,sagittal,233332,True
87616,Adamts17,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17",71924431,coronal,233332,True
50610,Pik3cb,"phosphatidylinositol 3-kinase, catalytic, beta polypeptide",70300792,sagittal,74769,True
132331,Tnni3k,TNNI3 interacting kinase,74276886,sagittal,435766,True
42365,Pgpep1,pyroglutamyl-peptidase I,68799095,sagittal,66522,True
84723,Rcor3,REST corepressor 3,71213111,sagittal,214742,True
84723,Rcor3,REST corepressor 3,68341758,sagittal,214742,True
44356,Efha1,EF hand domain family A1,1946,coronal,68514,True
44356,Efha1,EF hand domain family A1,1947,sagittal,68514,True
12284,Entpd5,ectonucleoside triphosphate diphosphohydrolase 5,67765698,sagittal,12499,True
88801,Carf,calcium response factor,76003365,sagittal,241066,True
46815,Pgm2l1,phosphoglucomutase 2-like 1,70615597,coronal,70974,True
46815,Pgm2l1,phosphoglucomutase 2-like 1,545100,sagittal,70974,True
44018,4930591A17Rik,RIKEN cDNA 4930591A17 gene,71892023,sagittal,68175,True
69899,Tigd5,tigger transposable element derived 5,70598363,sagittal,105734,True
48431,Ppme1,protein phosphatase methylesterase 1,70430702,sagittal,72590,True
14339,Gdf5,growth differentiation factor 5,81654111,sagittal,14563,True
21174,Tcf4,transcription factor 4,1044,coronal,21413,True
21174,Tcf4,transcription factor 4,1046,sagittal,21413,True
21174,Tcf4,transcription factor 4,79488927,coronal,21413,True
21174,Tcf4,transcription factor 4,1045,sagittal,21413,True
21174,Tcf4,transcription factor 4,77454591,sagittal,21413,True
50035,Rnd3,Rho family GTPase 3,71724557,sagittal,74194,True
44911,1810011H11Rik,RIKEN cDNA 1810011H11 gene,71920261,sagittal,69069,True
19180,Rasgrf1,RAS protein-specific guanine nucleotide-releasing factor 1,1274,coronal,19417,True
19180,Rasgrf1,RAS protein-specific guanine nucleotide-releasing factor 1,1275,sagittal,19417,True
108342,Pitpnm3,PITPNM family member 3,71494678,sagittal,327958,True
33709,Fmn2,formin 2,72182988,sagittal,54418,True
12822,Ctsw,cathepsin W,69608232,sagittal,13041,True
12822,Ctsw,cathepsin W,75041420,coronal,13041,True
86518,Pms1,postmeiotic segregation increased 1 (S. cerevisiae),75990557,sagittal,227099,True
51026,Samt4,spermatogenesis associated multipass transmembrane protein 4,71891916,sagittal,75185,True
106874,Tns3,tensin 3,69980256,sagittal,319939,True
106874,Tns3,tensin 3,75080694,coronal,319939,True
106874,Tns3,tensin 3,71213683,sagittal,319939,True
45444,Otop3,otopetrin 3,71210654,sagittal,69602,True
12679,Cpt2,carnitine palmitoyltransferase 2,69608034,sagittal,12896,True
21428,Tdgf1,teratocarcinoma-derived growth factor 1,68667679,sagittal,21667,True
120151,Rc3h1,RING CCCH (C3H) domains 1,72471838,sagittal,381305,True
120151,Rc3h1,RING CCCH (C3H) domains 1,71161525,sagittal,381305,True
120151,Rc3h1,RING CCCH (C3H) domains 1,73927700,sagittal,381305,True
120151,Rc3h1,RING CCCH (C3H) domains 1,71211053,sagittal,381305,True
84278,Kbtbd7,kelch repeat and BTB (POZ) domain containing 7,70295637,sagittal,211255,True
86170,Gm324,predicted gene 324,70295787,sagittal,224876,True
45797,Ptcd3,pentatricopeptide repeat domain 3,70609222,sagittal,69956,True
40502,Impg1,interphotoreceptor matrix proteoglycan 1,2322,sagittal,63859,True
40502,Impg1,interphotoreceptor matrix proteoglycan 1,2321,coronal,63859,True
44352,Ints1,integrator complex subunit 1,68743990,sagittal,68510,True
120129,Gm973,predicted gene 973,70595859,sagittal,381260,True
120129,Gm973,predicted gene 973,74988753,coronal,381260,True
92846,Zfp384,zinc finger protein 384,74510152,sagittal,269800,True
60442,Nipa2,non imprinted in Prader-Willi/Angelman syndrome 2 homolog (human),70445473,sagittal,93790,True
60442,Nipa2,non imprinted in Prader-Willi/Angelman syndrome 2 homolog (human),75041549,coronal,93790,True
11708,Neurod6,neurogenic differentiation 6,79544834,sagittal,11922,True
11708,Neurod6,neurogenic differentiation 6,698,coronal,11922,True
11708,Neurod6,neurogenic differentiation 6,699,sagittal,11922,True
45598,Leng1,leukocyte receptor cluster (LRC) member 1,76098383,sagittal,69757,True
13620,Epha8,Eph receptor A8,72472794,coronal,13842,True
13620,Epha8,Eph receptor A8,69672090,sagittal,13842,True
89253,Rpgrip1l,Rpgrip1-like,69353714,sagittal,244585,True
43462,Nob1,NIN1/RPN12 binding protein 1 homolog (S. cerevisiae),69353620,sagittal,67619,True
21824,Trpc5,"transient receptor potential cation channel, subfamily C, member 5",71247658,coronal,22067,True
21824,Trpc5,"transient receptor potential cation channel, subfamily C, member 5",69288399,sagittal,22067,True
37559,Arhgap23,Rho GTPase activating protein 23,74431685,sagittal,58996,True
93050,Tstd2,thiosulfate sulfurtransferase (rhodanese)-like domain containing 2,69028701,sagittal,272027,True
37588,Usp14,ubiquitin specific peptidase 14,70919848,sagittal,59025,True
37588,Usp14,ubiquitin specific peptidase 14,69549326,sagittal,59025,True
37588,Usp14,ubiquitin specific peptidase 14,74881157,coronal,59025,True
86634,Ppapdc3,phosphatidic acid phosphatase type 2 domain containing 3,75695630,sagittal,227721,True
88505,Actbl2,"actin, beta-like 2",72183012,sagittal,238880,True
20732,Sdc4,syndecan 4,633291,sagittal,20971,True
66847,Slc6a20a,"solute carrier family 6 (neurotransmitter transporter), member 20A",71210956,sagittal,102680,True
136092,TC1412975,TIGR MGI TC1412975,70793971,sagittal,None,True
129873,LOC433288,LOC433288,70723062,sagittal,433288,True
143642,Xkr4,X Kell blood group precursor related family member 4,74277322,sagittal,497097,True
109384,Slc41a2,"solute carrier family 41, member 2",69447918,sagittal,338365,True
68735,Smek2,"SMEK homolog 2, suppressor of mek1 (Dictyostelium)",386256,sagittal,104570,True
51280,Cypt12,cysteine-rich perinuclear theca 12,74427098,sagittal,75439,True
13892,Fbln2,fibulin 2,321208,coronal,14115,True
13892,Fbln2,fibulin 2,75694395,sagittal,14115,True
108710,Birc7,baculoviral IAP repeat-containing 7 (livin),69529322,sagittal,329581,True
78816,Mrps6,mitochondrial ribosomal protein S6,68443429,sagittal,121022,True
35370,Ubqln1,ubiquilin 1,67814217,sagittal,56085,True
29755,Opn4,opsin 4 (melanopsin),100145386,sagittal,30044,True
53140,Raph1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,69446893,sagittal,77300,True
16177,Itga7,integrin alpha 7,73520991,coronal,16404,True
16177,Itga7,integrin alpha 7,69735580,sagittal,16404,True
43811,Ooep,oocyte expressed protein,77465016,sagittal,67968,True
130345,LOC433764,similar to Uromodulin precursor (Tamm-Horsfall urinary glycoprotein) (THP),70786773,sagittal,433764,True
85407,Lrrc3b,leucine rich repeat containing 3B,74881145,coronal,218763,True
85407,Lrrc3b,leucine rich repeat containing 3B,643549,sagittal,218763,True
53325,Stk31,serine threonine kinase 31,70302282,sagittal,77485,True
84572,Plekhg6,"pleckstrin homology domain containing, family G (with RhoGef domain) member 6",69169732,sagittal,213522,True
56088,Apobec3,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3",67979041,sagittal,80287,True
86046,Gm536,predicted gene 536,74510224,sagittal,224098,True
35690,Cbln3,cerebellin 3 precursor protein,69540429,sagittal,56410,True
42411,Rwdd3,RWD domain containing 3,74056138,sagittal,66568,True
42411,Rwdd3,RWD domain containing 3,71991905,sagittal,66568,True
139412,Mm.31198,Unigene Mm.31198,74431387,sagittal,None,True
20278,Slc20a2,"solute carrier family 20, member 2",70231308,coronal,20516,True
20278,Slc20a2,"solute carrier family 20, member 2",69262278,sagittal,20516,True
82385,Vmn1r4,vomeronasal 1 receptor 4,70785242,sagittal,171194,True
87523,Klc3,kinesin light chain 3,81599668,sagittal,232943,True
87523,Klc3,kinesin light chain 3,583557,sagittal,232943,True
85355,Rasa1,RAS p21 protein activator 1,71610829,sagittal,218397,True
130524,LOC433944,uncharacterized LOC433944,71456127,sagittal,433944,True
16187,Itgb2,integrin beta 2,77464984,sagittal,16414,True
50622,Wipi2,"WD repeat domain, phosphoinositide interacting 2",68845436,sagittal,74781,True
107692,A630052C17Rik,RIKEN cDNA A630052C17 gene,69448936,sagittal,320757,True
86613,Slc2a6,"solute carrier family 2 (facilitated glucose transporter), member 6",71670696,coronal,227659,True
86613,Slc2a6,"solute carrier family 2 (facilitated glucose transporter), member 6",69873881,sagittal,227659,True
44072,AI846148,expressed sequence AI846148,71492892,sagittal,68229,True
84297,Suox,sulfite oxidase,532698,sagittal,211389,True
12019,Btrc,beta-transducin repeat containing protein,75692782,sagittal,12234,True
12019,Btrc,beta-transducin repeat containing protein,74047905,coronal,12234,True
50117,Cldnd2,claudin domain containing 2,74635090,sagittal,74276,True
11309,Adh1,alcohol dehydrogenase 1 (class I),68341519,sagittal,11522,True
150337,F830305A12Rik*,RIKEN cDNA F830305A12 gene (non-RefSeq),73748788,sagittal,None,True
67303,Pwp1,PWP1 homolog (S. cerevisiae),67787339,sagittal,103136,True
108335,Pigl,"phosphatidylinositol glycan anchor biosynthesis, class L",71920495,sagittal,327942,True
45934,Ube2q1,ubiquitin-conjugating enzyme E2Q (putative) 1,69133857,sagittal,70093,True
93008,Catsperb,"cation channel, sperm-associated, beta",72183011,sagittal,271036,True
13188,Tmc1,transmembrane channel-like gene family 1,75041514,coronal,13409,True
13188,Tmc1,transmembrane channel-like gene family 1,75694262,sagittal,13409,True
74698,Amhr2,anti-Mullerian hormone type 2 receptor,81654097,sagittal,110542,True
17222,Mov10,Moloney leukemia virus 10,68798591,sagittal,17454,True
46818,4931407G18Rik,RIKEN cDNA 4931407G18 gene,70525780,sagittal,70977,True
